Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;-3;0;2
1;BANJA-LUKA;1;5;9
2;BIHAĆ;6;10;14
3;BIJELJINA;-7;-3;1
4;BILEĆA;-3;0;3
5;BOS.BROD;-4;2;7
6;BOS.DUBICA;1;6;12
7;BOS.GRADIŠKA;-1;5;10
8;BOS.GRAHOVO;7;8;10
9;BOS.KRUPA;5;9;13
10;BOS.NOVI;3;8;13
11;BOS.PETROVAC;5;8;11
12;BOS.ŠAMAC;-5;0;5
13;BRATUNAC;-5;-4;-2
14;BRČKO;-6;-2;3
15;BREZA;0;1;1
16;BUGOJNO;3;4;5
17;BUSOVAČA;1;2;3
18;BUŽIM;4;10;15
19;CAZIN;5;10;15
20;ČAJNIČE;-4;-3;-1
21;ČAPLJINA;0;3;6
22;ČELIĆ;-5;-2;2
23;ČELINAC;1;4;8
24;ČITLUK;1;3;5
25;DERVENTA;-3;2;7
26;DOBOJ;-2;1;5
27;DONJIVAKUF;3;4;5
28;DRVAR;6;8;10
29;FOČA;-3;-1;0
30;FOJNICA;2;2;3
31;GACKO;-3;0;2
32;GLAMOČ;6;6;7
33;GORAŽDE;-3;-2;-1
34;GORNJIVAKUF;3;3;4
35;GRAČANICA;-3;0;4
36;GRADAČAC;-4;0;4
37;GRUDE;2;4;6
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-3;-2;-1
40;HLIVNO;6;6;6
41;ILIJAŠ;0;1;1
42;JABLANICA;2;3;3
43;JAJCE;3;5;7
44;KAKANJ;0;1;2
45;KALESIJA;-4;-2;1
46;KALINOVIK;-1;0;1
47;KISELJAK;1;1;2
48;KLADANJ;-3;-1;1
49;KLJUČ;4;7;10
50;KONJIC;1;2;3
51;KOTOR-VAROŠ;1;4;7
52;KREŠEVO;2;2;2
53;KUPRES;4;5;5
54;LAKTAŠI;0;5;9
55;LOPARE;-5;-2;2
56;LUKAVAC;-3;0;2
57;LJUBINJE;-2;1;5
58;LJUBUŠKI;1;4;6
59;MAGLAJ;-2;1;4
60;MODRIČA;-4;1;5
61;MOSTAR;1;2;4
62;MRKONJIĆ-GRAD;3;5;8
63;NEUM;0;3;7
64;NEVESINJE;-1;1;3
65;NOVITRAVNIK;2;3;4
66;ODŽAK;-5;0;5
67;OLOVO;-2;-1;1
68;ORAŠJE;-6;-1;4
69;PALE;-1;-1;0
70;POSUŠJE;3;4;6
71;PRIJEDOR;2;7;12
72;PRNJAVOR;-1;3;7
73;PROZOR;3;3;3
74;ROGATICA;-3;-2;-2
75;RUDO;-5;-4;-3
76;SANSKI-MOST;3;7;11
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;2;4;7
79;SOKOLAC;-2;-1;-1
80;SRBAC;-2;4;9
81;SREBRENICA;-5;-3;-2
82;SREBRENIK;-4;0;3
83;STOLAC;-1;2;5
84;ŠEKOVIĆI;-4;-2;0
85;ŠIPOVO;4;5;7
86;ŠIROKI-BRIJEG;2;3;5
87;TESLIĆ;-1;2;5
88;TEŠANJ;-1;2;5
89;TOMISLAV-GRAD;4;5;5
90;TRAVNIK;2;3;5
91;TREBINJE;-4;0;4
92;TRNOVO;-1;0;1
93;TUZLA;-4;-1;2
94;UGLJEVIK;-6;-2;1
95;VAREŠ;-1;0;2
96;V.KLADUŠA;5;10;16
97;VISOKO;0;1;2
98;VIŠEGRAD;-4;-3;-3
99;VITEZ;1;3;4
100;VLASENICA;-3;-2;-1
101;ZAVIDOVIĆI;-1;1;4
102;ZENICA;1;2;4
103;ZVORNIK;-5;-3;0
104;ŽEPA;-3;-3;-2
105;ŽEPČE;-1;2;4
106;ŽIVINICE;-3;-1;2
